name,link
bogota,https://www.tripadvisor.com/Hotels-g294074-Bogota-Hotels.html
santa marta municipality,https://www.tripadvisor.com/Hotels-g3860359-Santa_Marta_Municipality_Magdalena_Department-Hotels.html
cartagena,https://www.tripadvisor.com/Hotels-g297476-Cartagena_Cartagena_District_Bolivar_Department-Hotels.html
medellin,https://www.tripadvisor.com/Hotels-g297478-Medellin_Antioquia_Department-Hotels.html
cali,https://www.tripadvisor.com/Hotels-g297475-Cali_Valle_del_Cauca_Department-Hotels.html
san andres island,https://www.tripadvisor.com/Hotels-g297482-San_Andres_Island_San_Andres_and_Providencia_Department-Hotels.html
san andres,https://www.tripadvisor.com/Hotels-g3493965-San_Andres_San_Andres_Island_San_Andres_and_Providencia_Department-Hotels.html
villa de leyva,https://www.tripadvisor.com/Hotels-g676524-Villa_de_Leyva_Boyaca_Department-Hotels.html
pereira,https://www.tripadvisor.com/Hotels-g297479-Pereira_Risaralda_Department-Hotels.html
barranquilla,https://www.tripadvisor.com/Hotels-g297473-Barranquilla_Atlantico_Department-Hotels.html
villavicencio,https://www.tripadvisor.com/Hotels-g676523-Villavicencio_Meta_Department-Hotels.html
armenia,https://www.tripadvisor.com/Hotels-g319823-Armenia_Quindio_Department-Hotels.html
salento,https://www.tripadvisor.com/Hotels-g1580963-Salento_Quindio_Department-Hotels.html
manizales,https://www.tripadvisor.com/Hotels-g652402-Manizales_Caldas_Department-Hotels.html
montenegro,https://www.tripadvisor.com/Hotels-g1915404-Montenegro_Quindio_Department-Hotels.html
san gil,https://www.tripadvisor.com/Hotels-g1221358-San_Gil_Santander_Department-Hotels.html
palomino,https://www.tripadvisor.com/Hotels-g3754359-Palomino_La_Guajira_Department-Hotels.html
guatape,https://www.tripadvisor.com/Hotels-g1087551-Guatape_Antioquia_Department-Hotels.html
bucaramanga,https://www.tripadvisor.com/Hotels-g297474-Bucaramanga_Santander_Department-Hotels.html
quimbaya,https://www.tripadvisor.com/Hotels-g1547306-Quimbaya_Quindio_Department-Hotels.html
popayan,https://www.tripadvisor.com/Hotels-g319824-Popayan_Cauca_Department-Hotels.html
barichara,https://www.tripadvisor.com/Hotels-g1178558-Barichara_Santander_Department-Hotels.html
melgar,https://www.tripadvisor.com/Hotels-g677791-Melgar_Tolima_Department-Hotels.html
leticia,https://www.tripadvisor.com/Hotels-g317037-Leticia_Amazonas_Department-Hotels.html
santa rosa de cabal,https://www.tripadvisor.com/Hotels-g1641481-Santa_Rosa_de_Cabal_Risaralda_Department-Hotels.html
jardin,https://www.tripadvisor.com/Hotels-g2035190-Jardin_Antioquia_Department-Hotels.html
covenas,https://www.tripadvisor.com/Hotels-g616329-Covenas_Sucre_Department-Hotels.html
pasto,https://www.tripadvisor.com/Hotels-g677789-Pasto_Narino_Department-Hotels.html
neiva,https://www.tripadvisor.com/Hotels-g1220269-Neiva_Huila_Department-Hotels.html
valledupar,https://www.tripadvisor.com/Hotels-g1009235-Valledupar_Cesar_Department-Hotels.html
riohacha,https://www.tripadvisor.com/Hotels-g676527-Riohacha_La_Guajira_Department-Hotels.html
san agustin,https://www.tripadvisor.com/Hotels-g445060-San_Agustin_Huila_Department-Hotels.html
santa fe de antioquia,https://www.tripadvisor.com/Hotels-g672067-Santa_Fe_de_Antioquia_Antioquia_Department-Hotels.html
ibague,https://www.tripadvisor.com/Hotels-g297477-Ibague_Tolima_Department-Hotels.html
santiago de tolu,https://www.tripadvisor.com/Hotels-g1726000-Santiago_de_Tolu_Sucre_Department-Hotels.html
yopal,https://www.tripadvisor.com/Hotels-g1220262-Yopal_Casanare_Department-Hotels.html
monteria,https://www.tripadvisor.com/Hotels-g609136-Monteria_Cordoba_Department-Hotels.html
cucuta,https://www.tripadvisor.com/Hotels-g676525-Cucuta_Norte_de_Santander_Department-Hotels.html
girardot,https://www.tripadvisor.com/Hotels-g677790-Girardot_Cundinamarca_Department-Hotels.html
providencia island,https://www.tripadvisor.com/Hotels-g297480-Providencia_Island_San_Andres_and_Providencia_Department-Hotels.html
villeta,https://www.tripadvisor.com/Hotels-g675692-Villeta_Cundinamarca_Department-Hotels.html
filandia,https://www.tripadvisor.com/Hotels-g3147813-Filandia_Quindio_Department-Hotels.html
rionegro,https://www.tripadvisor.com/Hotels-g297481-Rionegro_Antioquia_Department-Hotels.html
paipa,https://www.tripadvisor.com/Hotels-g312856-Paipa_Boyaca_Department-Hotels.html
capurgana,https://www.tripadvisor.com/Hotels-g681277-Capurgana_Choco_Department-Hotels.html
tunja,https://www.tripadvisor.com/Hotels-g776258-Tunja_Boyaca_Department-Hotels.html
isla baru,https://www.tripadvisor.com/Hotels-g1507145-Isla_Baru_Cartagena_District_Bolivar_Department-Hotels.html
nuqui,https://www.tripadvisor.com/Hotels-g809122-Nuqui_Choco_Department-Hotels.html
la tebaida,https://www.tripadvisor.com/Hotels-g2431721-La_Tebaida_Quindio_Department-Hotels.html
buga,https://www.tripadvisor.com/Hotels-g1222935-Buga_Valle_del_Cauca_Department-Hotels.html
calarca,https://www.tripadvisor.com/Hotels-g2539236-Calarca_Quindio_Department-Hotels.html
ipiales,https://www.tripadvisor.com/Hotels-g678216-Ipiales_Narino_Department-Hotels.html
mompos,https://www.tripadvisor.com/Hotels-g445061-Mompos_Bolivar_Department-Hotels.html
necocli,https://www.tripadvisor.com/Hotels-g1588172-Necocli_Antioquia_Department-Hotels.html
la vega,https://www.tripadvisor.com/Hotels-g1222966-La_Vega_Cundinamarca_Department-Hotels.html
bahia solano,https://www.tripadvisor.com/Hotels-g1983809-Bahia_Solano_Choco_Department-Hotels.html
duitama,https://www.tripadvisor.com/Hotels-g1998885-Duitama_Boyaca_Department-Hotels.html
guatavita,https://www.tripadvisor.com/Hotels-g970262-Guatavita_Cundinamarca_Department-Hotels.html
villavieja,https://www.tripadvisor.com/Hotels-g1507128-Villavieja_Huila_Department-Hotels.html
san onofre,https://www.tripadvisor.com/Hotels-g4452849-San_Onofre_Sucre_Department-Hotels.html
buenaventura,https://www.tripadvisor.com/Hotels-g671591-Buenaventura_Valle_del_Cauca_Department-Hotels.html
penol,https://www.tripadvisor.com/Hotels-g8294493-Penol_Antioquia_Department-Hotels.html
puerto colombia,https://www.tripadvisor.com/Hotels-g4454796-Puerto_Colombia_Atlantico_Department-Hotels.html
jerico,https://www.tripadvisor.com/Hotels-g3834928-Jerico_Antioquia_Department-Hotels.html
rivera,https://www.tripadvisor.com/Hotels-g6206661-Rivera_Huila_Department-Hotels.html
barrancabermeja,https://www.tripadvisor.com/Hotels-g1594789-Barrancabermeja_Santander_Department-Hotels.html
palmira,https://www.tripadvisor.com/Hotels-g1725989-Palmira_Valle_del_Cauca_Department-Hotels.html
circasia,https://www.tripadvisor.com/Hotels-g2044718-Circasia_Quindio_Department-Hotels.html
florencia,https://www.tripadvisor.com/Hotels-g1459889-Florencia_Caqueta_Department-Hotels.html
isla grande,https://www.tripadvisor.com/Hotels-g6503218-Isla_Grande_Islas_de_Rosario_Cartagena_District_Bolivar_Department-Hotels.html
sogamoso,https://www.tripadvisor.com/Hotels-g677792-Sogamoso_Boyaca_Department-Hotels.html
mocoa,https://www.tripadvisor.com/Hotels-g1932047-Mocoa_Putumayo_Department-Hotels.html
guaduas,https://www.tripadvisor.com/Hotels-g4454193-Guaduas_Cundinamarca_Department-Hotels.html
calima,https://www.tripadvisor.com/Hotels-g2698484-Calima_Valle_del_Cauca_Department-Hotels.html
la mesa,https://www.tripadvisor.com/Hotels-g1222956-La_Mesa_Cundinamarca_Department-Hotels.html
doradal,https://www.tripadvisor.com/Hotels-g8714744-Doradal_Antioquia_Department-Hotels.html
acacias,https://www.tripadvisor.com/Hotels-g1221359-Acacias_Meta_Department-Hotels.html
fusagasuga,https://www.tripadvisor.com/Hotels-g1221356-Fusagasuga_Cundinamarca_Department-Hotels.html
mariquita,https://www.tripadvisor.com/Hotels-g3249628-Mariquita_Tolima_Department-Hotels.html
honda,https://www.tripadvisor.com/Hotels-g2167254-Honda_Tolima_Department-Hotels.html
anapoima,https://www.tripadvisor.com/Hotels-g1641484-Anapoima_Cundinamarca_Department-Hotels.html
chia,https://www.tripadvisor.com/Hotels-g815502-Chia_Cundinamarca_Department-Hotels.html
sincelejo,https://www.tripadvisor.com/Hotels-g1395140-Sincelejo_Sucre_Department-Hotels.html
apartado,https://www.tripadvisor.com/Hotels-g2440188-Apartado_Antioquia_Department-Hotels.html
la calera,https://www.tripadvisor.com/Hotels-g1222951-La_Calera_Cundinamarca_Department-Hotels.html
guasca,https://www.tripadvisor.com/Hotels-g1850878-Guasca_Cundinamarca_Department-Hotels.html
aguachica,https://www.tripadvisor.com/Hotels-g1641483-Aguachica_Cesar_Department-Hotels.html
san bernardo del viento,https://www.tripadvisor.com/Hotels-g4454675-San_Bernardo_del_Viento_Cordoba_Department-Hotels.html
san jeronimo,https://www.tripadvisor.com/Hotels-g2431775-San_Jeronimo_Antioquia_Department-Hotels.html
dibulla,https://www.tripadvisor.com/Hotels-g3960811-Dibulla_La_Guajira_Department-Hotels.html
floridablanca,https://www.tripadvisor.com/Hotels-g2094269-Floridablanca_Santander_Department-Hotels.html
la dorada,https://www.tripadvisor.com/Hotels-g4446037-La_Dorada_Caldas_Department-Hotels.html
tulua,https://www.tripadvisor.com/Hotels-g1598746-Tulua_Valle_del_Cauca_Department-Hotels.html
dosquebradas,https://www.tripadvisor.com/Hotels-g1532246-Dosquebradas_Risaralda_Department-Hotels.html
envigado,https://www.tripadvisor.com/Hotels-g1918553-Envigado_Antioquia_Department-Hotels.html
curiti,https://www.tripadvisor.com/Hotels-g4171798-Curiti_Santander_Department-Hotels.html
tibasosa,https://www.tripadvisor.com/Hotels-g2501880-Tibasosa_Boyaca_Department-Hotels.html
aquitania,https://www.tripadvisor.com/Hotels-g3347757-Aquitania_Boyaca_Department-Hotels.html
suesca,https://www.tripadvisor.com/Hotels-g1600806-Suesca_Cundinamarca_Department-Hotels.html
pitalito,https://www.tripadvisor.com/Hotels-g2440195-Pitalito_Huila_Department-Hotels.html
san rafael,https://www.tripadvisor.com/Hotels-g12107000-San_Rafael_Antioquia_Department-Hotels.html
san jose del guaviare,https://www.tripadvisor.com/Hotels-g3493972-San_Jose_del_Guaviare_Guaviare_Department-Hotels.html
los santos,https://www.tripadvisor.com/Hotels-g1903130-Los_Santos_Santander_Department-Hotels.html
cartago,https://www.tripadvisor.com/Hotels-g910883-Cartago_Valle_del_Cauca_Department-Hotels.html
san francisco,https://www.tripadvisor.com/Hotels-g3182284-San_Francisco_Cundinamarca_Department-Hotels.html
la boquilla,https://www.tripadvisor.com/Hotels-g13115315-La_Boquilla_Cartagena_District_Bolivar_Department-Hotels.html
guarne,https://www.tripadvisor.com/Hotels-g1584018-Guarne_Antioquia_Department-Hotels.html
boyaca,https://www.tripadvisor.com/Hotels-g317035-Boyaca_Boyaca_Department-Hotels.html
san antero,https://www.tripadvisor.com/Hotels-g4455081-San_Antero_Cordoba_Department-Hotels.html
marinilla,https://www.tripadvisor.com/Hotels-g3389559-Marinilla_Antioquia_Department-Hotels.html
granada,https://www.tripadvisor.com/Hotels-g3453016-Granada_Meta_Department-Hotels.html
iza,https://www.tripadvisor.com/Hotels-g3248375-Iza_Boyaca_Department-Hotels.html
