name,rating,phone,address,website,rating_quality,price,hotel_id,Timestamp
Grand Hyatt Bogota,4.5,(601) 6541234,"Calle 24 A, 57-60, Bogota 111321 Colombia",,Excellent,799891.0,13288526,2022-12-23 21:48:19.432360
Hilton Garden Inn Bogota Airport,4.5,+1 855-618-4697,"Carrera 82 No. 25G 84, Bogota 110931 Colombia",,Excellent,343516.0,12959007,2022-12-23 21:48:20.641436
93 Luxury Suites & Residences,5.0,+5717459093,"Carrera 13A 93-51, Bogota 110221 Colombia",,Excellent,541111.0,3830242,2022-12-23 21:48:22.008821
Hotel Vilar America,4.5,,"Calle 66 8 - 23 Barrio Chapinero, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,139209.0,659553,2022-12-23 21:48:23.471984
NH Collection Bogota Hacienda Royal,4.5,+1 212-245-5462,"Calle 114 No 6 - 02, Bogota Colombia",,Excellent,248539.0,301549,2022-12-23 21:48:24.641497
GHL Hotel Capital,4.5,,"Calle 25b N0 69A-50, Bogota 110421 Colombia",https://www.tripadvisor.com,Excellent,271587.0,307238,2022-12-23 21:48:25.884693
Wyndham Bogota,4.5,(601) 6083000,"Avenida Calle 24 N 51-40, Bogota 111321 Colombia",,Excellent,223177.0,5779075,2022-12-23 21:48:27.071604
101 Park House,4.5,,"Carrera 21 #101-10, Bogota Colombia",https://www.tripadvisor.com,Excellent,242697.0,307347,2022-12-23 21:48:28.429233
Hotel Habitel Select,4.0,,"Av el dorado 100 89, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,204885.0,677320,2022-12-23 21:48:29.533606
Hotel Movich Buro 26,4.0,(601) 4824466,"Av. El Dorado N° 102 - 20, Bogota Colombia",,Very good,366795.0,6514692,2022-12-23 21:48:30.410813
Lancaster House,4.5,+5716291100,"Avenida 45 106B 28 Paralela Autonorte, Bogota 110111 Colombia",,Excellent,155889.0,307345,2022-12-23 21:48:31.497971
NH Collection Bogota Andino Royal,4.5,+1 212-245-5462,"Calle 85 12 28, Bogota 110221 Colombia",,Excellent,375186.0,301548,2022-12-23 21:48:32.745328
W Bogota,4.5,+1 844-631-0595,"Avenida Carrera 9 #115 - 30, Bogota 110111 Colombia",,Excellent,945697.0,7181152,2022-12-23 21:48:34.585361
Bogota Plaza Hotel,4.5,,"Carrera 18a 100 41 Carrera 18A # 100-41, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,231849.0,304496,2022-12-23 21:48:35.842167
La Colina Hotel Cottage,5.0,,"Calle 150 No. 78-46 Colinas de Suba / Colina Campestre, Bogota 111156 Colombia",https://www.tripadvisor.com,Excellent,,4688292,2022-12-23 21:48:37.445533
Hotel Estelar Parque de la 93,4.5,(601) 5111555,"Calle 93 11- 19, Bogota 110211 Colombia",,Excellent,486825.0,2642899,2022-12-23 21:48:38.717253
Hotel Andes Plaza,4.0,+5713148180,"Avenida Carrera 15 No 100-11 Chico Norte, Bogota 110921 Colombia",,Very good,157889.0,562300,2022-12-23 21:48:40.284915
Courtyard by Marriott Bogota Airport,4.5,+1 844-631-0595,"Avenida Calle 26, 96 J-90 96 J-90, Bogota 110911 Colombia",,Excellent,289869.0,8516461,2022-12-23 21:48:41.550269
NH Bogota Urban 26 Royal,4.5,+1 212-245-5462,"Carrera 33 No. 25F-18, Bogota 111321 Colombia",,Excellent,166036.0,5308199,2022-12-23 21:48:43.167938
BioHotel Organic Suites,4.5,,"Carrera 7bisa # 124-36, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,240508.0,4896142,2022-12-23 21:48:45.010772
Ibis Bogota Museo,4.0,,"Transversal 6 27 85 Centro Internacional, Bogota 110311 Colombia",https://www.tripadvisor.com,Very good,149095.0,1860302,2022-12-23 21:48:46.464976
Hotel Dann Carlton Bogota,4.5,,"Avenida 15 No. 103-60, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,244311.0,307008,2022-12-23 21:48:47.807507
Four Points by Sheraton Bogota,4.5,+1 844-631-0595,"Carrera 18 93 83, Bogota 110221 Colombia",,Excellent,360000.0,7107178,2022-12-23 21:48:49.568116
City Express Junior Bogota Aeropuerto,3.5,,"Diagonal 25G 95-66 Fontibon, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,190301.0,11960527,2022-12-23 21:48:51.056840
The Click Clack Hotel Bogota,4.0,+5746043232,"Carrera 11 93 77, Bogota 110221 Colombia",,Very good,427481.0,4954615,2022-12-23 21:48:52.606746
City Express Plus Bogota Aeropuerto,4.0,,"Diagonal 25G 95 - 66 Fontibon, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,286666.0,12043781,2022-12-23 21:48:54.133649
Hotel Casa Paulina,4.0,,"Calle 63 #17-18 Calle 63 # 17-18, Bogota 4665684 Colombia",https://www.tripadvisor.com,Very good,58800.0,1028213,2022-12-23 21:48:55.776261
Hotel bh Bicentenario,4.0,,"Carrera 4 # 16-03, Bogota 111711 Colombia",https://www.tripadvisor.com,Very good,171144.0,4741990,2022-12-23 21:48:57.307880
Hotel Casa Sarita,4.0,,"Diagonal 54 # 23-45, Bogota 111221 Colombia",https://www.tripadvisor.com,Very good,58800.0,2429622,2022-12-23 21:48:58.417196
Hotel Santa Barbara Real,3.5,318 2816711,"Calle 127 No 7 - 89, Bogota Colombia",,Very good,149258.0,1793992,2022-12-23 21:48:59.664226
