name,rating,phone,address,website,rating_quality,price,hotel_id
Wyndham Bogota,4.5,(601) 6083000,"Avenida Calle 24 N 51-40, Bogota 111321 Colombia",,Excellent,204792.0,5779075
Grand Hyatt Bogota,4.5,(601) 6541234,"Calle 24 A, 57-60, Bogota 111321 Colombia",,Excellent,758922.0,13288526
Hilton Garden Inn Bogota Airport,4.5,+1 855-618-4697,"Carrera 82 No. 25G 84, Bogota 110931 Colombia",,Excellent,359093.0,12959007
93 Luxury Suites & Residences,5.0,+5717459093,"Carrera 13A 93-51, Bogota 110221 Colombia",,Excellent,563744.0,3830242
Hotel Vilar America,4.5,,"Calle 66 8 - 23 Barrio Chapinero, Bogota 110231 Colombia",https://www.tripadvisor.com,Excellent,141092.0,659553
Wyndham Bogota,4.5,(601) 6083000,"Avenida Calle 24 N 51-40, Bogota 111321 Colombia",,Excellent,203799.0,5779075
GHL Hotel Capital,4.5,,"Calle 25b N0 69A-50, Bogota 110421 Colombia",https://www.tripadvisor.com,Excellent,273500.0,307238
NH Collection Bogota Andino Royal,4.5,+1 212-245-5462,"Calle 85 12 28, Bogota 110221 Colombia",,Excellent,333639.0,301548
101 Park House,4.5,,"Carrera 21 #101-10, Bogota Colombia",https://www.tripadvisor.com,Excellent,334566.0,307347
Hotel Habitel Select,4.0,,"Av el dorado 100 89, Bogota 110911 Colombia",https://www.tripadvisor.com,Very good,224146.0,677320
Hotel Movich Buro 26,4.0,(601) 4824466,"Av. El Dorado N° 102 - 20, Bogota Colombia",,Very good,284792.0,6514692
Lancaster House,4.5,+5716291100,"Avenida 45 106B 28 Paralela Autonorte, Bogota 110111 Colombia",,Excellent,139039.0,307345
W Bogota,4.5,+1 844-631-0595,"Avenida Carrera 9 #115 - 30, Bogota 110111 Colombia",,Excellent,810144.0,7181152
La Colina Hotel Cottage,5.0,,"Calle 150 No. 78-46 Colinas de Suba / Colina Campestre, Bogota 111156 Colombia",https://www.tripadvisor.com,Excellent,365054.0,4688292
BioHotel Organic Suites,4.5,,"Carrera 7bisa # 124-36, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,245181.0,4896142
Hotel Estelar Parque de la 93,4.5,(601) 5111555,"Calle 93 11- 19, Bogota 110211 Colombia",,Excellent,400554.0,2642899
Hotel Andes Plaza,4.0,+5713148180,"Avenida Carrera 15 No 100-11 Chico Norte, Bogota 110921 Colombia",,Very good,156499.0,562300
Bogota Plaza Hotel,4.5,,"Carrera 18a 100 41 Carrera 18A # 100-41, Bogota 110111 Colombia",https://www.tripadvisor.com,Excellent,250555.0,304496
